plot_id,species,spp_code,dbh_cm,top_kill,full_kill
49,Eucalyptus dives,EUCDIV,50.8,1,1
49,Eucalyptus obliqua,EUCOBL,10.9,1,1
49,Eucalyptus obliqua,EUCOBL,12.8,1,1
49,Eucalyptus obliqua,EUCOBL,13.6,1,1
49,Eucalyptus obliqua,EUCOBL,15.1,1,1
49,Eucalyptus obliqua,EUCOBL,17.9,1,1
49,Eucalyptus obliqua,EUCOBL,18.4,1,1
49,Eucalyptus obliqua,EUCOBL,18.9,1,1
49,Eucalyptus obliqua,EUCOBL,20.3,1,1
49,Eucalyptus obliqua,EUCOBL,21.1,1,1
49,Eucalyptus obliqua,EUCOBL,23.1,0,0
49,Eucalyptus obliqua,EUCOBL,23.3,0,0
49,Eucalyptus obliqua,EUCOBL,29.5,0,0
49,Eucalyptus obliqua,EUCOBL,31.6,0,0
49,Eucalyptus obliqua,EUCOBL,32.8,0,0
49,Eucalyptus obliqua,EUCOBL,33.5,0,0
49,Eucalyptus obliqua,EUCOBL,37,0,0
49,Eucalyptus obliqua,EUCOBL,37.5,0,0
49,Eucalyptus obliqua,EUCOBL,37.9,0,0
49,Eucalyptus obliqua,EUCOBL,47.6,0,0
49,Eucalyptus obliqua,EUCOBL,49.2,0,0
49,Eucalyptus obliqua,EUCOBL,50.3,0,0
49,Eucalyptus obliqua,EUCOBL,54.7,0,0
49,Eucalyptus obliqua,EUCOBL,55.6,0,0
49,Eucalyptus obliqua,EUCOBL,56.4,0,0
49,Eucalyptus obliqua,EUCOBL,61.1,0,0
49,Eucalyptus obliqua,EUCOBL,64.3,0,0
49,Eucalyptus obliqua,EUCOBL,67.5,0,0
49,Eucalyptus obliqua,EUCOBL,71,0,0
49,Eucalyptus obliqua,EUCOBL,86.2,1,1
50,Acacia dealbata,ACADEA,10,1,1
50,Acacia dealbata,ACADEA,10.3,1,1
50,Acacia dealbata,ACADEA,10.3,1,1
50,Acacia dealbata,ACADEA,11,0,0
50,Acacia dealbata,ACADEA,11.1,1,1
